,name,artist,album,track_number,Artist,storeId
0,The Anthem,['Myke Bogan'],Silk Jockstrap,6.0,['Myke Bogan'],T6koip4uh5isnz4covsajifhpkm
1,Me Gustas Tu,['Manu Chao'],Próxima Estación: Esperanza,6.0,['Manu Chao'],T7r3qdfgqorsijomcrdblc552yu
2,Gasoline,['Prof'],Liability,16.0,['Prof'],T5gdacdcrxunvlzuoosl5eczway
3,Slow Burn,['Doomtree'],False Hopes,7.0,['Doomtree'],T2f7om2v4jaqhs2f4qbb2audscy
4,All Your Light (Times Like These),['Portugal. The Man'],In The Mountain In The Cloud,8.0,['Portugal. The Man'],T5npbrnosql3ckjw4n5oiamo7xm
5,The Ringer,['Eminem'],Kamikaze,1.0,['Eminem'],Twpz67tpoe4f3rsfeu4guqo2jii
6,Greatest,['Eminem'],Kamikaze,2.0,['Eminem'],Td43dsxg6ij262bke2cz6jbv22y
7,Lucky You (feat. Joyner Lucas),"['Eminem', ' Joyner Lucas']",Kamikaze,3.0,"['Eminem', ' Joyner Lucas']",Tea2hr6ed6yjeoix44jrcugsaf4
8,Paul - Skit,['Paul Rosenberg'],Kamikaze,4.0,['Paul Rosenberg'],Tksyzc46znh7yuuwzn3ia7vcigm
9,Normal,['Eminem'],Kamikaze,5.0,['Eminem'],T3nwz55t3fwgxci5p3wm765xakm
10,Em Calls Paul - Skit,['Eminem'],Kamikaze,6.0,['Eminem'],To3vonuipb6gonvdycgujm4mosm
11,Stepping Stone,['Eminem'],Kamikaze,7.0,['Eminem'],Txs6zsosllsxchrmdslpbw4b4d4
12,Not Alike (feat. Royce Da 5'9),"['Eminem', ' Royce Da 5\\9']",Kamikaze,8.0,"['Eminem', ' Royce Da 5\\9']",T7m7267xcetgqfcm2a22zilypli
13,Kamikaze,['Eminem'],Kamikaze,9.0,['Eminem'],Tqvgwvruq6ztmayfr4wtyqhu2h4
14,Fall,['Eminem'],Kamikaze,10.0,['Eminem'],Tcsx3spz3l4kvhrly656echwz2e
15,Nice Guy (with Jessie Reyez),"['Eminem', ' Jessie Reyez']",Kamikaze,11.0,"['Eminem', ' Jessie Reyez']",T4biyvmpei4wqit62laysayp4ve
16,Good Guy (feat. Jessie Reyez),"['Eminem', ' Jessie Reyez']",Kamikaze,12.0,"['Eminem', ' Jessie Reyez']",T3jmtzd7aemr3ufodcrclxf7vme
17,Venom - Music From The Motion Picture,['Eminem'],Kamikaze,13.0,['Eminem'],Tax4htzz2xxbwjriw23ap46tkba
18,Coffee And Wine,['Chadwick Stokes'],Simmerkane II,11.0,['Chadwick Stokes'],T2qmf43encjkbhsue2csnkv3qva
19,Altitude Check,['The Bad Tenants'],Altitude Check,1.0,['The Bad Tenants'],T6z4k4gavqjfadl4irk4w4sxamu
20,Don’t Matter To Me,"['Drake', ' Michael Jackson']",Scorpion,10.0,"['Drake', ' Michael Jackson']",Tqe2ad4ctgbbthxdotk5vi3mqs4
21,After Dark,"['Drake', ' Static Major', ' Ty Dolla $ign']",Scorpion,11.0,"['Drake', ' Static Major', ' Ty Dolla $ign']",Txabz4stl3ho5znhikgh4gq74km
22,Sick and Tired,['Pasadena'],Sick and Tired,4.0,['Pasadena'],Tbmqtthrlba6ooxy7xlux7byrra
23,Curse + Crush,['Dispatch'],"America, Location 12",3.0,['Dispatch'],Tiyddr5q4plixaqbzkw3mxkzaje
24,The General,['Dispatch'],Bang Bang,3.0,['Dispatch'],Tyerhi6b7opa7x2bpflloikmvwq
25,Josaphine,['Dispatch'],Circles Around the Sun,5.0,['Dispatch'],Tlc6jzif3yaryfjbala4mlzfnum
26,Be Gone,['Dispatch'],"America, Location 12",1.0,['Dispatch'],Ttqhzm7p6uxex2fzo52hjauov5a
27,Pilot with a Fear of Heights,['Felicity'],Pilot with a Fear of Heights,1.0,['Felicity'],Tu5vb3n4l3fdy55hdzutifprrhe
